onset duration sample trial eventIdentifier StimulusOn StimulusOff TargetOn TargetOff SFIX EFIX SSACC ESACC SBLINK EBLINK num_trial num_block dir_target proba switch
65.242 2.672 414502 19 "TRIALID 18" 415096 415975 416275 417049 "[415062, 415251, 415412, 416473, 416651, 416988]" "[415217.0, 415403.0, 416457.0, 416620.0, 416970.0, 417155.0]" "[415218, 415404, 416458, 416621, 416971]" "[415250.0, 415411.0, 416472.0, 416650.0, 416987.0]"   19 1 1.0 0.6475235198239354 0.0
69.014 2.296 418274 20 "TRIALID 19" 418876 419351 419651 420433 "[418842, 419017, 419907, 420071]" "[418999.0, 419877.0, 420048.0, 420538.0]" "[419000, 419878, 420049]" "[419016.0, 419906.0, 420070.0]"   20 1 0.0 0.6475235198239354 0.0
72.412 2.334 421672 21 "TRIALID 20" 422276 422807 423107 423881 "[422234, 422414, 423304, 423478]" "[422396.0, 423290.0, 423448.0, 423987.0]" "[422397, 423291, 423449]" "[422413.0, 423303.0, 423477.0]"   21 1 1.0 0.6475235198239354 0.0
75.846 2.296 425106 22 "TRIALID 21" 425715 426183 426483 427263 "[425675, 425843, 426675, 426837, 427309]" "[425827.0, 426658.0, 426807.0, 427290.0, 427370.0]" "[425828, 426659, 426808, 427291]" "[425842.0, 426674.0, 426836.0, 427308.0]"   22 1 1.0 0.6475235198239354 0.0
79.243 2.628 428503 23 "TRIALID 22" 429107 429914 430214 430996 "[429063, 430446, 430594]" "[430425.0, 430573.0, 431098.0]" "[430426, 430574]" "[430445.0, 430593.0]"   23 1 0.0 0.6475235198239354 0.0
82.971 2.611 432231 24 "TRIALID 23" 432829 433630 433930 434712 "[432960, 433082, 434192, 434345, 434777]" "[433071.0, 434168.0, 434322.0, 434594.0, 434811.0]" "[433072, 434169, 434323, 434595]" "[433081.0, 434191.0, 434344.0, 434776.0]" "[432840, 434605]" "[432950.0, 434767.0]" 24 1 0.0 0.6475235198239354 0.0
86.683 2.281 435943 25 "TRIALID 24" 436537 437012 437312 438094 "[436503, 436677, 437505, 437664, 438154]" "[436669.0, 437487.0, 437638.0, 438134.0, 438193.0]" "[436670, 437488, 437639, 438135]" "[436676.0, 437504.0, 437663.0, 438153.0]"   25 1 0.0 0.6475235198239354 0.0
90.064 2.687 439324 26 "TRIALID 25" 439937 440795 441095 441876 "[439884, 440182, 441401, 441905]" "[439964.0, 441360.0, 441889.0, 441979.0]" "[439965, 441361, 441890]" "[440181.0, 441400.0, 441904.0]" 439991 440172.0 26 1 1.0 0.6475235198239354 0.0
93.851 2.596 443111 27 "TRIALID 26" 443707 444492 444793 445575 "[443672, 443736, 443898, 444065, 444983, 445129, 445429]" "[443692.0, 443841.0, 444054.0, 444966.0, 445104.0, 445415.0, 445675.0]" "[443693, 443842, 444055, 444967, 445105, 445416]" "[443735.0, 443897.0, 444064.0, 444982.0, 445128.0, 445428.0]"   27 1 1.0 0.6475235198239354 0.0
97.547 2.565 446807 28 "TRIALID 27" 447407 448159 448459 449241 "[447368, 447561, 448680, 448836, 449250]" "[447542.0, 448662.0, 448810.0, 449235.0, 449340.0]" "[447543, 448663, 448811, 449236]" "[447560.0, 448679.0, 448835.0, 449249.0]"   28 1 1.0 0.6475235198239354 0.0
101.212 2.828 450472 29 "TRIALID 28" 451067 452091 452391 453172 "[451032, 451229, 451516, 452686, 452846, 453148]" "[451165.0, 451319.0, 452660.0, 452825.0, 453133.0, 453272.0]" "[451166, 451320, 452661, 452826, 453134]" "[451228.0, 451515.0, 452685.0, 452845.0, 453147.0]" 451330 451506.0 29 1 1.0 0.6475235198239354 0.0
105.141 2.377 454401 30 "TRIALID 29" 454997 455560 455860 456638 "[455089, 456069, 456249, 456705]" "[456051.0, 456216.0, 456681.0, 456746.0]" "[454955, 456052, 456217, 456682]" "[455088.0, 456068.0, 456248.0, 456704.0]" 454955 455079.0 30 1 0.0 0.6475235198239354 0.0
108.618 2.789 457878 31 "TRIALID 30" 458471 459454 459755 460537 "[458438, 458759, 458840, 458950, 460024, 460191]" "[458474.0, 458781.0, 458943.0, 460004.0, 460161.0, 460435.0]" "[458475, 458782, 458944, 460005, 460162, 460436]" "[458758.0, 458839.0, 458949.0, 460023.0, 460190.0, 460636.0]" "[458485, 460452]" "[458749.0, 460589.0]" 31 1 1.0 0.6475235198239354 0.0
112.508 2.754 461768 32 "TRIALID 31" 462368 463304 463605 464386 "[462328, 462424, 462606, 463829, 463988, 464220]" "[462386.0, 462567.0, 463811.0, 463963.0, 464203.0, 464490.0]" "[462387, 462568, 463812, 463964, 464204]" "[462423.0, 462605.0, 463828.0, 463987.0, 464219.0]"   32 1 1.0 0.6475235198239354 0.0
