onset duration sample trial eventIdentifier StimulusOn StimulusOff TargetOn TargetOff SFIX EFIX SSACC ESACC num_trial num_block dir_target proba switch
77.643 2.625 949403 23 "TRIALID 22" 950010 950811 951111 951893 "[949964, 950228, 951334, 951604]" "[950206.0, 951304.0, 951571.0, 951978.0]" "[950207, 951305, 951572, 951979]" "[950227.0, 951333.0, 951603.0, 951996.0]" 23 1 0.0 0.6475235198239354 0.0
81.369 2.467 953129 24 "TRIALID 23" 953726 954377 954678 955459 "[953690, 954898, 955059]" "[954860.0, 955025.0, 955564.0]" "[954861, 955026]" "[954897.0, 955058.0]" 24 1 0.0 0.6475235198239354 0.0
84.937 2.288 956697 25 "TRIALID 24" 957291 957786 958087 958857 "[957257, 957470, 958302, 958636]" "[957446.0, 958262.0, 958615.0, 958965.0]" "[957447, 958263, 958616]" "[957469.0, 958301.0, 958635.0]" 25 1 0.0 0.6475235198239354 0.0
88.325 2.424 960085 26 "TRIALID 25" 960691 961292 961592 962373 "[960653, 960834, 961821, 962014]" "[960812.0, 961794.0, 961994.0, 962477.0]" "[960813, 961795, 961995]" "[960833.0, 961820.0, 962013.0]" 26 1 1.0 0.6475235198239354 0.0
91.849 2.428 963609 27 "TRIALID 26" 964222 964824 965124 965906 "[964174, 964413, 965337, 965530]" "[964388.0, 965313.0, 965507.0, 966005.0]" "[964389, 965314, 965508]" "[964412.0, 965336.0, 965529.0]" 27 1 1.0 0.6475235198239354 0.0
95.377 2.57 967137 28 "TRIALID 27" 967738 968490 968790 969572 "[967697, 969028, 969200]" "[969004.0, 969179.0, 969676.0]" "[969005, 969180]" "[969027.0, 969199.0]" 28 1 1.0 0.6475235198239354 0.0
99.047 2.361 970807 29 "TRIALID 28" 971419 971955 972255 973037 "[971373, 971664, 972467, 972652, 973099]" "[971642.0, 972440.0, 972627.0, 973077.0, 973136.0]" "[971643, 972441, 972628, 973078]" "[971663.0, 972466.0, 972651.0, 973098.0]" 29 1 1.0 0.6475235198239354 0.0
102.508 2.289 974268 30 "TRIALID 29" 974870 975337 975638 976419 "[974830, 975867, 976015]" "[975830.0, 975979.0, 976525.0]" "[975831, 975980]" "[975866.0, 976014.0]" 30 1 0.0 0.6475235198239354 0.0
105.897 2.435 977657 31 "TRIALID 30" 978252 978874 979175 979951 "[978218, 978432, 978581, 979395, 979579]" "[978408.0, 978558.0, 979370.0, 979558.0, 980060.0]" "[978409, 978559, 979371, 979559]" "[978431.0, 978580.0, 979394.0, 979578.0]" 31 1 1.0 0.6475235198239354 0.0
109.433 2.514 981193 32 "TRIALID 31" 981801 982490 982790 983567 "[981757, 982011, 983006, 983164]" "[981992.0, 982982.0, 983142.0, 983676.0]" "[981993, 982983, 983143]" "[982010.0, 983005.0, 983163.0]" 32 1 1.0 0.6475235198239354 0.0
113.047 2.598 984807 33 "TRIALID 32" 985412 986186 986487 987266 "[985368, 986704, 986908]" "[986678.0, 986892.0, 987373.0]" "[986679, 986893]" "[986703.0, 986907.0]" 33 1 1.0 0.6475235198239354 0.0
116.747 2.497 988507 34 "TRIALID 33" 989104 989785 990086 990865 "[989067, 989666, 990302, 990483]" "[989645.0, 990276.0, 990461.0, 990972.0]" "[989646, 990277, 990462]" "[989665.0, 990301.0, 990482.0]" 34 1 1.0 0.6475235198239354 0.0
120.344 2.639 992104 35 "TRIALID 34" 992711 993532 993832 994614 "[992665, 992926, 994085, 994286]" "[992917.0, 994046.0, 994265.0, 994714.0]" "[992918, 994047, 994266]" "[992925.0, 994084.0, 994285.0]" 35 1 0.0 0.6475235198239354 0.0
124.083 2.5 995843 36 "TRIALID 35" 996447 997130 997431 998213 "[996413, 996597, 997099, 997683, 997839]" "[996577.0, 997077.0, 997646.0, 997816.0, 998312.0]" "[996578, 997078, 997647, 997817]" "[996596.0, 997098.0, 997682.0, 997838.0]" 36 1 0.0 0.6475235198239354 0.0
127.683 2.618 999443 37 "TRIALID 36" 1000059 1000846 1001146 1001927 "[1000013, 1000251, 1001376, 1001597]" "[1000230.0, 1001335.0, 1001576.0, 1002028.0]" "[1000231, 1001336, 1001577]" "[1000250.0, 1001375.0, 1001596.0]" 37 1 0.0 0.6475235198239354 0.0
131.401 2.277 1003161 38 "TRIALID 37" 1003761 1004218 1004518 1005294 "[1003722, 1003969, 1004756, 1004932]" "[1003946.0, 1004716.0, 1004899.0, 1005405.0]" "[1003947, 1004717, 1004900]" "[1003968.0, 1004755.0, 1004931.0]" 38 1 0.0 0.6475235198239354 0.0
134.779 2.657 1006539 39 "TRIALID 38" 1007140 1007978 1008278 1009060 "[1007100, 1007395, 1007788, 1007919, 1008491, 1008648]" "[1007373.0, 1007767.0, 1007896.0, 1008467.0, 1008626.0, 1009164.0]" "[1007374, 1007768, 1007897, 1008468, 1008627]" "[1007394.0, 1007787.0, 1007918.0, 1008490.0, 1008647.0]" 39 1 1.0 0.6475235198239354 0.0
138.536 2.64 1010296 40 "TRIALID 39" 1010892 1011739 1012039 1012808 "[1010857, 1011100, 1011523, 1012259, 1012438]" "[1011085.0, 1011503.0, 1012234.0, 1012414.0, 1012906.0]" "[1011086, 1011504, 1012235, 1012415]" "[1011099.0, 1011522.0, 1012258.0, 1012437.0]" 40 1 1.0 0.6475235198239354 0.0
142.276 2.392 1014036 41 "TRIALID 40" 1014641 1015210 1015511 1016291 "[1014605, 1014841, 1015744, 1016043]" "[1014820.0, 1015710.0, 1016024.0, 1016396.0]" "[1014821, 1015711, 1016025]" "[1014840.0, 1015743.0, 1016042.0]" 41 1 1.0 0.6475235198239354 0.0
145.768 2.63 1017528 42 "TRIALID 41" 1018123 1018940 1019240 1020023 "[1018089, 1018360, 1019452, 1019623]" "[1018337.0, 1019428.0, 1019599.0, 1020126.0]" "[1018338, 1019429, 1019600]" "[1018359.0, 1019451.0, 1019622.0]" 42 1 1.0 0.6475235198239354 0.0
149.499 2.541 1021259 43 "TRIALID 42" 1021856 1022602 1022903 1023672 "[1021819, 1022059, 1023147, 1023310]" "[1022039.0, 1023105.0, 1023276.0, 1023771.0]" "[1022040, 1023106, 1023277]" "[1022058.0, 1023146.0, 1023309.0]" 43 1 0.0 0.6475235198239354 0.0
153.139 2.314 1024899 44 "TRIALID 43" 1025505 1025994 1026295 1027071 "[1025460, 1025718, 1026526]" "[1025696.0, 1026484.0, 1027181.0]" "[1025697, 1026485]" "[1025717.0, 1026525.0]" 44 1 0.0 0.6475235198239354 0.0
156.554 2.436 1028314 45 "TRIALID 44" 1028916 1029537 1029838 1030619 "[1028875, 1029092, 1030078, 1030510]" "[1029070.0, 1030052.0, 1030488.0, 1030718.0]" "[1029071, 1030053, 1030489]" "[1029091.0, 1030077.0, 1030509.0]" 45 1 1.0 0.6475235198239354 0.0
160.091 2.613 1031851 46 "TRIALID 45" 1032453 1033253 1033553 1034335 "[1032413, 1033758, 1033922, 1034275]" "[1033734.0, 1033889.0, 1034246.0, 1034434.0]" "[1033735, 1033890, 1034247]" "[1033757.0, 1033921.0, 1034274.0]" 46 1 1.0 0.6475235198239354 0.0
163.805 2.367 1035565 47 "TRIALID 46" 1036164 1036719 1037019 1037800 "[1036125, 1036418, 1036498, 1036627, 1037238, 1037415]" "[1036398.0, 1036477.0, 1036605.0, 1037215.0, 1037393.0, 1037901.0]" "[1036399, 1036478, 1036606, 1037216, 1037394]" "[1036417.0, 1036497.0, 1036626.0, 1037237.0, 1037414.0]" 47 1 1.0 0.6475235198239354 0.0
167.272 2.452 1039032 48 "TRIALID 47" 1039633 1040267 1040567 1041350 "[1039598, 1039721, 1039905, 1040807, 1041045]" "[1039698.0, 1039892.0, 1040783.0, 1041027.0, 1041452.0]" "[1039699, 1039893, 1040784, 1041028]" "[1039720.0, 1039904.0, 1040806.0, 1041044.0]" 48 1 1.0 0.6475235198239354 0.0
170.824 2.423 1042584 49 "TRIALID 48" 1043216 1043785 1044086 1044866 "[1043149, 1043823, 1044319, 1044480]" "[1043802.0, 1044291.0, 1044455.0, 1044974.0]" "[1043803, 1044292, 1044456]" "[1043822.0, 1044318.0, 1044479.0]" 49 1 0.0 0.6475235198239354 0.0
174.348 2.471 1046108 50 "TRIALID 49" 1046716 1047366 1047666 1048448 "[1046668, 1047122, 1047887, 1048069]" "[1047105.0, 1047862.0, 1048049.0, 1048547.0]" "[1047106, 1047863, 1048050]" "[1047121.0, 1047886.0, 1048068.0]" 50 1 1.0 0.6475235198239354 0.0
183.776 2.306 1055536 51 "TRIALID 50" 1056146 1056629 1056930 1057712 "[1056096, 1057134, 1057287]" "[1057110.0, 1057263.0, 1057811.0]" "[1057111, 1057264]" "[1057133.0, 1057286.0]" 51 1 1.0 0.6475235198239354 0.0
187.183 2.312 1058943 52 "TRIALID 51" 1059560 1060045 1060345 1061128 "[1059505, 1060573, 1060927]" "[1060547.0, 1060906.0, 1061227.0]" "[1060548, 1060907]" "[1060572.0, 1060926.0]" 52 1 1.0 0.6475235198239354 0.0
190.595 2.63 1062355 53 "TRIALID 52" 1062961 1063786 1064086 1064860 "[1062925, 1063149, 1063461, 1063604, 1064291, 1064455]" "[1063127.0, 1063441.0, 1063582.0, 1064267.0, 1064437.0, 1064966.0]" "[1063128, 1063442, 1063583, 1064268, 1064438]" "[1063148.0, 1063460.0, 1063603.0, 1064290.0, 1064454.0]" 53 1 1.0 0.6475235198239354 0.0
194.325 2.287 1066085 54 "TRIALID 53" 1066691 1067160 1067460 1068241 "[1066646, 1066920, 1067698, 1067942]" "[1066910.0, 1067658.0, 1067917.0, 1068340.0]" "[1066911, 1067659, 1067918]" "[1066919.0, 1067697.0, 1067941.0]" 54 1 0.0 0.15951564251606967 1.0
197.712 2.384 1069472 55 "TRIALID 54" 1070075 1070642 1070942 1071723 "[1070032, 1070159, 1070311, 1071157, 1071320]" "[1070127.0, 1070293.0, 1071131.0, 1071288.0, 1071823.0]" "[1070128, 1070294, 1071132, 1071289]" "[1070158.0, 1070310.0, 1071156.0, 1071319.0]" 55 1 0.0 0.15951564251606967 0.0
