onset duration sample trial eventIdentifier StimulusOn StimulusOff TargetOn TargetOff SFIX EFIX SSACC ESACC SBLINK EBLINK num_trial num_block dir_target proba switch
51.274 2.269 9103741 15 "TRIALID 14" 9104348 9104793 9105093 9105876 "[9104301, 9104520, 9105082, 9105399, 9105650]" "[9104510.0, 9105068.0, 9105373.0, 9105625.0, 9105977.0]" "[9104511, 9105069, 9105374, 9105626]" "[9104519.0, 9105081.0, 9105398.0, 9105649.0]"   15 1 1.0 0.6475235198239354 0.0
54.644 2.671 9107111 16 "TRIALID 15" 9107708 9108584 9108884 9109657 "[9107672, 9107829, 9108016, 9109192, 9109629]" "[9107809.0, 9107989.0, 9109164.0, 9109607.0, 9109763.0]" "[9107810, 9107990, 9109165, 9109608]" "[9107828.0, 9108015.0, 9109191.0, 9109628.0]"   16 1 1.0 0.6475235198239354 0.0
58.416 2.503 9110883 17 "TRIALID 16" 9111480 9112174 9112475 9113256 "[9111443, 9111492, 9111674, 9112825, 9113031, 9113204]" "[9111484.0, 9111661.0, 9112798.0, 9112999.0, 9113190.0, 9113355.0]" "[9111485, 9111662, 9112799, 9113000, 9113191]" "[9111491.0, 9111673.0, 9112824.0, 9113030.0, 9113203.0]"   17 1 0.0 0.6475235198239354 0.0
62.02 2.634 9114487 18 "TRIALID 17" 9115087 9115906 9116207 9116989 "[9115047, 9115250, 9115548, 9116483, 9116722, 9116989]" "[9115227.0, 9115539.0, 9116454.0, 9116697.0, 9116965.0, 9117089.0]" "[9115228, 9115540, 9116455, 9116698, 9116966]" "[9115249.0, 9115547.0, 9116482.0, 9116721.0, 9116988.0]"   18 1 1.0 0.6475235198239354 0.0
65.754 2.53 9118221 19 "TRIALID 18" 9118827 9119538 9119839 9120621 "[9118782, 9118861, 9119047, 9120140, 9120241]" "[9118841.0, 9119024.0, 9120114.0, 9120217.0, 9120705.0]" "[9118842, 9119025, 9120115, 9120218, 9120706]" "[9118860.0, 9119046.0, 9120139.0, 9120240.0, 9120720.0]"   19 1 1.0 0.6475235198239354 0.0
69.385 2.301 9121852 20 "TRIALID 19" 9122469 9122938 9123238 9124020 "[9122413, 9122647, 9123559, 9123933]" "[9122626.0, 9123528.0, 9123905.0, 9124121.0]" "[9122627, 9123529, 9123906]" "[9122646.0, 9123558.0, 9123932.0]"   20 1 0.0 0.6475235198239354 0.0
72.787 3.824 9125254 21 "TRIALID 20" 9125853 9127879 9128179 9128952 "[9125815, 9126437, 9126892, 9127104, 9127349, 9128495, 9128686, 9128984]" "[9126230.0, 9126844.0, 9127077.0, 9127325.0, 9128467.0, 9128660.0, 9128959.0, 9129059.0]" "[9126231, 9126845, 9127078, 9127326, 9128468, 9128661, 9128960]" "[9126436.0, 9126891.0, 9127103.0, 9127348.0, 9128494.0, 9128685.0, 9128983.0]" 9126251 9126408.0 21 1 1.0 0.6475235198239354 0.0
77.711 2.58 9130178 22 "TRIALID 21" 9130784 9131559 9131860 9132634 "[9130738, 9131070, 9131232, 9131534, 9131823, 9132188]" "[9131045.0, 9131211.0, 9131516.0, 9131807.0, 9132155.0, 9132739.0]" "[9131046, 9131212, 9131517, 9131808, 9132156]" "[9131069.0, 9131231.0, 9131533.0, 9131822.0, 9132187.0]"   22 1 1.0 0.6475235198239354 0.0
81.391 2.623 9133858 23 "TRIALID 22" 9134467 9135267 9135568 9136350 "[9134427, 9134781, 9134978, 9135554, 9135750, 9135896, 9136123, 9136311]" "[9134761.0, 9134972.0, 9135539.0, 9135740.0, 9135871.0, 9136094.0, 9136290.0, 9136449.0]" "[9134762, 9134973, 9135540, 9135741, 9135872, 9136095, 9136291]" "[9134780.0, 9134977.0, 9135553.0, 9135749.0, 9135895.0, 9136122.0, 9136310.0]"   23 1 0.0 0.6475235198239354 0.0
85.114 2.761 9137581 24 "TRIALID 23" 9138199 9139133 9139434 9140215 "[9138142, 9138438, 9138553, 9139736, 9140061]" "[9138233.0, 9138547.0, 9139709.0, 9140046.0, 9140323.0]" "[9138234, 9138548, 9139710, 9140047]" "[9138437.0, 9138552.0, 9139735.0, 9140060.0]" 9138274 9138428.0 24 1 0.0 0.6475235198239354 0.0
